y,x1,x2,g1,g2
7.9,-0.58,0.37,D,g
9.71,-0.43,1.42,E,g
-3.04,-0.26,-0.44,A,h
-4.36,-0.68,-1.02,B,h
-1.91,-0.41,-0.19,C,h
-6.76,-0.4,-1.33,D,h
4.84,-0.52,1.17,E,h
-0.62,0.58,0.77,A,i
0.69,-0.2,-0.02,B,i
2.9,-0.36,0.4,C,i
-4.73,0.46,-2.06,D,i
0.28,1.94,1.22,E,i
9.24,-1.61,0.96,A,j
-0.78,0.79,-0.68,B,j
3.58,-0.62,0.04,C,j
5.71,0.1,1.36,D,j
1.41,0.69,-0.09,E,j
-1.68,0.09,0.89,A,a
-4.69,0.28,-0.32,B,a
-3.12,0.69,-0.26,C,a
1.83,0.22,1.24,D,a
-0.34,0.12,-0.68,E,a
0.36,0.92,0.46,A,b
-1.18,0.06,-0.16,B,b
7.74,-0.37,2,C,b
10.18,-1.17,1.55,D,b
3.6,-2.04,-0.57,E,b
2.43,-1.13,-0.54,A,c
4.57,-0.3,0.53,B,c
10.45,-0.17,1.28,C,c
0.26,1.22,-0.68,D,c
9,-1.08,0.32,E,c
1.56,-1.86,-0.54,A,d
1.96,0.02,0.89,B,d
2.29,0.53,0.99,C,d
0.5,0.54,-0.06,D,d
7.39,-0.28,1.16,E,d
-1.17,-2.13,-1.22,A,e
0.32,-1.03,-0.96,B,e
0.36,0.43,-0.38,C,e
3.58,0.11,0.23,D,e
1.35,0.8,0.22,E,e
-2.99,1.65,0.75,A,f
-3.01,0.33,-0.24,B,f
7.3,-2.3,0.53,C,f
0.65,0.33,1.2,D,f
-3.37,0.23,-1.17,E,f
8.52,0.29,1.7,A,g
8.57,0.17,1.43,B,g
4.71,0.57,0.25,C,g
7.64,0.03,0.41,D,g
4.76,0.05,-0.2,E,g
-2.1,0.25,0.42,A,h
-4.6,-0.53,-1.24,B,h
-3.12,1.47,0.25,C,h
-3.2,0.94,-0.17,D,h
-4.08,1.04,-0.83,E,h
-2.15,0.34,-0.62,A,i
0.25,-1.62,-1.06,B,i
2.54,0.2,0.86,C,i
-2.56,0.14,-1.64,D,i
5.29,-0.42,0.48,E,i
-0.68,0.81,-0.49,A,j
-3.07,1.52,-1.21,B,j
-2.27,-0.52,-1.74,C,j
-1.02,-0.79,-1.15,D,j
0.62,-1.65,-1.29,E,j
-2.26,1.23,1.39,A,a
4,-0.57,1.37,B,a
-0.04,-0.4,-0.15,C,a
7.57,-1.13,1.55,D,a
0.42,-0.1,-0.31,E,a
-1.46,0.12,-0.38,A,b
1.43,-1.43,-0.38,B,b
-0.3,1.15,-0.1,C,b
-2.03,-1.66,-1,D,b
-2.29,2.5,0.27,E,b
0.5,0.62,-0.58,A,c
1.71,0.71,0.4,B,c
4.66,0.05,0.38,C,c
2.18,1.24,0.55,D,c
6.23,-0.54,0.25,E,c
-5.97,-1.71,-1.43,A,d
-1.47,1.17,0.47,B,d
-0.38,-0.35,-0.38,C,d
-1.52,-0.93,-1.33,D,d
-0.89,1.37,-0.54,E,d
-0.82,1.04,-0.09,A,e
1.5,-0.12,-0.2,B,e
6.96,-1.58,1,C,e
-0.93,-0.92,-0.95,D,e
0.44,0.27,-0.67,E,e
9.98,-2.67,1.44,A,f
-4.97,-0.65,-1.67,B,f
-5.88,1.36,-1.62,C,f
-3.39,0.72,-0.32,D,f
-4.93,2.09,-1.48,E,f
5.41,0.26,-0.24,A,g
-0.64,0.57,-1.34,B,g
1.62,1.06,-0.24,C,g
6.67,0.56,0.81,D,g
4.06,-0.45,-0.57,E,g
1.26,0.06,1.22,A,h
-0.6,0.57,0.61,B,h
-6.21,0.42,-1.04,C,h
0.66,-0.24,0.32,D,h
-6.59,-1.39,-2.11,E,h
-4.44,0.38,-0.95,A,i
-4.66,0.77,-1.52,B,i
4.12,-0.3,0.56,C,i
-1.5,0.46,-0.99,D,i
-0.33,-0.12,-0.84,E,i
0.9,0.47,0.16,A,j
0.89,-0.14,-0.33,B,j
5.95,-0.54,0.68,C,j
-0.25,-0.53,-1.06,D,j
-3.18,1.58,-1.44,E,j
-2.66,-0.09,0.37,A,a
0.21,-0.58,0.19,B,a
-5.59,0.71,-0.79,C,a
5.73,-0.57,1.37,D,a
-0.61,0.76,0.82,E,a
