country,life_expectancy,population,gdp_per_capita,gini,continent,infant_mortality,fertility,region,log10_gdp_per_capita
Jordan,76.7,9900000,8450,33.7,Asia,15.4,3.12,Western Asia,3.926856708949692
Kazakhstan,72,18400000,24200,26.9,Asia,12.6,2.4,Central Asia,4.383815365980431
Kenya,67.3,51000000,3110,40.8,Africa,35.5,4.24,Eastern Africa,3.4927603890268375
Kiribati,62.2,118000,1890,37,Oceania,43.6,2.89,Micronesia,3.2764618041732443
Kuwait,80,4200000,68400,40,Asia,7.3,2.55,Western Asia,4.835056101720117
Kyrgyz Republic,71.5,6130000,3490,26.8,Asia,19,3.04,Central Asia,3.5428254269591797
Lao,67.9,6960000,6310,36.4,Asia,50.7,2.87,South-Eastern Asia,3.8000293592441343
Latvia,75.1,1930000,25500,34.2,Europe,6.9,1.64,Northern Europe,4.4065401804339555
Lebanon,80.5,6090000,13400,31.8,Asia,7.1,1.49,Western Asia,4.127104798364807
Lesotho,51.1,2260000,2960,54.2,Africa,69.2,2.94,Southern Africa,3.4712917110589387
Liberia,65.4,4850000,801,33.2,Africa,52.8,4.64,Western Africa,2.9036325160842376
Libya,75.5,6470000,18300,40,Africa,11.4,2.26,Northern Africa,4.26245108973043
Lithuania,75.3,2880000,30400,37.4,Europe,3.3,1.55,Northern Europe,4.482873583608754
Luxembourg,82.4,590000,99000,33.8,Europe,1.5,1.69,Western Europe,4.99563519459755
"Macedonia, FYR",75.2,2090000,14000,35.6,Europe,4.8,1.43,Southern Europe,4.146128035678238
Madagascar,63.4,26300000,1460,42.7,Africa,35.9,4.35,Eastern Africa,3.164352855784437
Malawi,61,19200000,1130,45.5,Africa,43.4,5.23,Eastern Africa,3.0530784434834195
Malaysia,75.9,32000000,27200,41,Asia,6,1.94,South-Eastern Asia,4.434568904034199
Maldives,80.1,444000,13000,38.4,Asia,7.4,2.18,Southern Asia,4.113943352306837
Mali,62.9,19100000,2020,33,Africa,74.5,6.81,Western Africa,3.305351369446624
Malta,81.8,432000,37900,29.4,Europe,5.1,1.35,Southern Europe,4.578639209968072
Mauritania,70.6,4540000,3670,32.6,Africa,65.1,4.55,Western Africa,3.5646660642520893
Mauritius,74.9,1270000,21000,35.8,Africa,11.8,1.5,Eastern Africa,4.3222192947339195
Mexico,76.8,131000000,17300,45.9,Americas,11.3,2.13,Central America,4.238046103128795
"Micronesia, Fed. Sts.",65.8,106000,3410,40.1,Oceania,28.6,3.19,Micronesia,3.5327543789924976
Moldova,72.4,4040000,5330,26.4,Europe,13.6,1.45,Eastern Europe,3.7267272090265724
Mongolia,68.7,3120000,12100,32.4,Asia,19,2.4,Eastern Asia,4.08278537031645
Montenegro,77.3,629000,16600,31.9,Europe,4.3,1.65,Southern Europe,4.220108088040055
Morocco,75.5,36200000,7720,39.6,Africa,23.7,2.71,Northern Africa,3.887617300335736
Mozambique,61.1,30500000,1200,54,Africa,56.7,5.04,Eastern Africa,3.0791812460476247
Namibia,65.7,2590000,10500,59.1,Africa,32.8,2.95,Southern Africa,4.021189299069938
Nepal,71.5,29600000,2420,32.8,Asia,29.4,2.18,Southern Asia,3.383815365980431
Netherlands,81.9,17100000,48500,28.2,Europe,3.2,1.78,Western Europe,4.685741738602264
New Zealand,81.8,4750000,36400,35,Oceania,4.7,2.02,Australia and New Zealand,4.561101383649056
Nicaragua,78.7,6280000,5470,46.2,Americas,18.8,2.42,Central America,3.737987326333431
Niger,62.5,22300000,949,34.3,Africa,57.1,7.51,Western Africa,2.977266212427293
Nigeria,66.1,196000000,5570,43,Africa,69.4,5.89,Western Africa,3.745855195173729
Norway,82.4,5350000,64800,27.5,Europe,2,1.93,Northern Europe,4.811575005870593
Oman,78.1,4830000,38900,40,Asia,9.9,2.75,Western Asia,4.589949601325708
Pakistan,68,201000000,5220,33.5,Asia,65.8,3.04,Southern Asia,3.717670503002262
Panama,79.4,4160000,23400,50.4,Americas,14.6,2.42,Central America,4.3692158574101425
Papua New Guinea,61.1,8420000,2800,41.9,Oceania,44.5,3.67,Melanesia,3.4471580313422194
Paraguay,74.8,6900000,9280,47.9,Americas,17.5,2.8,South America,3.967547976218862
Peru,80.2,32600000,12700,43.8,Americas,13.1,2.36,South America,4.103803720955957
Philippines,70.5,107000000,7960,42.2,Asia,22.2,2.98,South-Eastern Asia,3.900913067737669
Poland,78.2,38100000,27700,30.8,Europe,4.5,1.44,Eastern Europe,4.442479769064448
Portugal,81.3,10300000,27900,35.5,Europe,3,1.31,Southern Europe,4.445604203273597
Qatar,80.7,2690000,121000,40,Asia,6.8,1.98,Western Asia,5.08278537031645
Romania,75.5,19600000,23400,28.3,Europe,9.7,1.45,Eastern Europe,4.3692158574101425
Russia,71.1,144000000,24800,37.7,Europe,8.2,1.61,Eastern Europe,4.394451680826216
Rwanda,68.3,12500000,1930,45.1,Africa,31.1,4.31,Eastern Africa,3.285557309007774
Samoa,72.4,198000,5950,42.1,Oceania,15,4.03,Polynesia,3.7745169657285498
Saudi Arabia,77.6,33600000,50100,40,Asia,12.5,2.54,Western Asia,4.699837725867246
Senegal,66.8,16300000,2570,40.3,Africa,41.7,4.81,Western Africa,3.4099331233312946
Serbia,76.2,8760000,14800,34.1,Europe,5.9,1.37,Southern Europe,4.1702617153949575
Seychelles,74.2,95200,27500,46.8,Africa,11.7,2.13,Eastern Africa,4.439332693830263
Sierra Leone,60,7720000,1490,34,Africa,87.1,4.55,Western Africa,3.173186268412274
Singapore,84,5790000,83900,40.9,Asia,2.1,1.3,South-Eastern Asia,4.9237619608287
Slovak Republic,77.2,5450000,31400,26.5,Europe,5.8,1.43,Eastern Europe,4.496929648073215
Slovenia,81.1,2080000,30900,25.4,Europe,2.1,1.53,Southern Europe,4.489958479424835
Solomon Islands,63.6,623000,2110,37.1,Oceania,23.6,3.91,Melanesia,3.3242824552976926
South Africa,63.5,57400000,12300,63,Africa,33.6,2.34,Southern Africa,4.089905111439398
South Korea,81.3,51200000,36800,31.6,Asia,2.9,1.36,Eastern Asia,4.565847818673518
Spain,83.2,46400000,34700,36.2,Europe,3.5,1.53,Southern Europe,4.540329474790874
Sri Lanka,77.8,21000000,12400,39.8,Asia,8.4,2.31,Southern Asia,4.093421685162235
St. Lucia,76.6,180000,10900,42.6,Americas,12.7,1.87,Caribbean,4.037426497940624
St. Vincent and the Grenadines,72,110000,11400,40,Americas,16.6,1.95,Caribbean,4.056904851336473
Sudan,68.8,41500000,4440,35.4,Africa,47.6,4.28,Northern Africa,3.6473829701146196
Suriname,71.6,568000,13200,61,Americas,19,2.22,South America,4.12057393120585
Swaziland,58.6,1390000,7600,51.5,Africa,44.5,3.2,Southern Africa,3.8808135922807914
Sweden,82.4,9980000,47500,29,Europe,2.4,1.93,Northern Europe,4.676693609624866
Switzerland,83.5,8540000,57100,32.3,Europe,3.4,1.55,Western Europe,4.756636108245848
Syria,69.8,18300000,2900,35.2,Asia,11.1,2.88,Western Asia,3.462397997898956
Tajikistan,72.2,9110000,2920,34,Asia,38.5,3.75,Central Asia,3.4653828514484184
Tanzania,65.5,59100000,2780,37.8,Africa,35.2,5.07,Eastern Africa,3.444044795918076
Thailand,78.2,69200000,16900,36,Asia,10.5,1.38,South-Eastern Asia,4.227886704613674
Timor-Leste,73.3,1320000,1490,28.7,Asia,44.7,5.6,South-Eastern Asia,3.173186268412274
Togo,63.1,7990000,1480,43.1,Africa,52.3,4.51,Western Africa,3.1702617153949575
Tonga,70.7,109000,5500,37.5,Oceania,14.4,3.68,Polynesia,3.7403626894942437
Trinidad and Tobago,73.4,1370000,30300,41.3,Americas,18.2,1.79,Caribbean,4.481442628502305
Tunisia,78,11700000,11600,35.8,Africa,12.1,1.97,Northern Africa,4.064457989226918
Turkey,79.6,81900000,24900,41.9,Asia,11.6,2,Western Asia,4.396199347095736
Turkmenistan,70.5,5850000,17900,46.4,Asia,43.7,2.27,Central Asia,4.252853030979893
Uganda,62.9,44300000,1820,42.7,Africa,37.7,5.67,Eastern Africa,3.2600713879850747
Ukraine,72.3,44000000,8330,25,Europe,7.7,1.49,Eastern Europe,3.9206450014067875
United Arab Emirates,76.9,9540000,68200,40,Asia,5.9,1.77,Western Asia,4.833784374656479
United Kingdom,81.2,66600000,40100,33.2,Europe,3.5,1.89,Northern Europe,4.603144372620182
United States,79.1,327000000,54900,41.5,Americas,5.6,1.97,Northern America,4.739572344450092
Uruguay,77.6,3470000,21300,39.7,Americas,8.7,2.03,South America,4.328379603438738
Uzbekistan,70.5,32400000,6690,33.5,Asia,33.9,2.25,Central Asia,3.8254261177678233
Vanuatu,64.3,282000,2900,37.6,Oceania,23.1,3.31,Melanesia,3.462397997898956
Venezuela,75.9,32400000,14200,46.9,Americas,12.9,2.34,South America,4.152288344383057
Vietnam,74.9,96500000,6550,35.3,Asia,17.3,1.7,South-Eastern Asia,3.816241299991783
Yemen,67.1,28900000,2430,36.7,Asia,33.8,3.83,Western Asia,3.385606273598312
Zambia,59.5,17600000,3860,57.1,Africa,43.3,5.59,Eastern Africa,3.586587304671755
Zimbabwe,60.2,16900000,1950,43.2,Africa,46.6,3.35,Eastern Africa,3.290034611362518
